지점,지점명,일시,합계 일사량(MJ/m2),위도,경도
143,대구,24-7,515.32,35.87797,128.65295
143,대구,24-8,634.38,35.87797,128.65295
143,대구,24-9,454.92,35.87797,128.65295
143,대구,24-10,347.7,35.87797,128.65295
143,대구,24-11,292.79,35.87797,128.65295
146,전주,23-11,269.56,35.84092,127.11718
146,전주,23-12,213.67,35.84092,127.11718
146,전주,24-1,260.14,35.84092,127.11718
146,전주,24-2,248.51,35.84092,127.11718
146,전주,24-3,449.55,35.84092,127.11718
146,전주,24-4,496.14,35.84092,127.11718
146,전주,24-5,686.79,35.84092,127.11718
146,전주,24-6,624.13,35.84092,127.11718
146,전주,24-7,474.42,35.84092,127.11718
146,전주,24-8,583.89,35.84092,127.11718
146,전주,24-9,452.46,35.84092,127.11718
146,전주,24-10,343.17,35.84092,127.11718
146,전주,24-11,278.32,35.84092,127.11718
152,울산,23-11,347.51,35.58237,129.33469
152,울산,23-12,277.38,35.58237,129.33469
152,울산,24-1,309.49,35.58237,129.33469
152,울산,24-2,247.49,35.58237,129.33469
152,울산,24-3,481.87,35.58237,129.33469
152,울산,24-4,499,35.58237,129.33469
152,울산,24-5,711.7,35.58237,129.33469
152,울산,24-6,599.66,35.58237,129.33469
152,울산,24-7,564.56,35.58237,129.33469
152,울산,24-8,654.79,35.58237,129.33469
152,울산,24-9,453.19,35.58237,129.33469
152,울산,24-10,316.49,35.58237,129.33469
152,울산,24-11,289.55,35.58237,129.33469
155,창원,23-11,317.48,35.17019,128.57281
155,창원,23-12,252.86,35.17019,128.57281
155,창원,24-1,292.07,35.17019,128.57281
155,창원,24-2,254.16,35.17019,128.57281
155,창원,24-3,465.11,35.17019,128.57281
155,창원,24-4,475.77,35.17019,128.57281
155,창원,24-5,699.7,35.17019,128.57281
155,창원,24-6,589.97,35.17019,128.57281
155,창원,24-7,496.09,35.17019,128.57281
155,창원,24-8,655.65,35.17019,128.57281
155,창원,24-9,484.13,35.17019,128.57281
155,창원,24-10,365.67,35.17019,128.57281
155,창원,24-11,304.85,35.17019,128.57281
156,광주,23-11,293.97,35.17294,126.89156
156,광주,23-12,231.34,35.17294,126.89156
156,광주,24-1,294.22,35.17294,126.89156
156,광주,24-2,277.48,35.17294,126.89156
156,광주,24-3,472.09,35.17294,126.89156
156,광주,24-4,501.88,35.17294,126.89156
156,광주,24-5,707.88,35.17294,126.89156
156,광주,24-6,629.59,35.17294,126.89156
156,광주,24-7,451.46,35.17294,126.89156
156,광주,24-8,626.66,35.17294,126.89156
156,광주,24-9,479.05,35.17294,126.89156
156,광주,24-10,387.53,35.17294,126.89156
156,광주,24-11,312.84,35.17294,126.89156
159,부산,23-11,361.4,35.10468,129.03203
159,부산,23-12,298.41,35.10468,129.03203
159,부산,24-1,342.85,35.10468,129.03203
159,부산,24-2,278.68,35.10468,129.03203
159,부산,24-3,507.97,35.10468,129.03203
159,부산,24-4,527.18,35.10468,129.03203
159,부산,24-5,743.56,35.10468,129.03203
159,부산,24-6,594.02,35.10468,129.03203
159,부산,24-7,546.79,35.10468,129.03203
159,부산,24-8,707.85,35.10468,129.03203
159,부산,24-9,516.15,35.10468,129.03203
159,부산,24-10,355.89,35.10468,129.03203
159,부산,24-11,322.67,35.10468,129.03203
162,통영,23-11,345.67,34.84541,128.43561
162,통영,23-12,285.73,34.84541,128.43561
162,통영,24-1,320.15,34.84541,128.43561
162,통영,24-2,284.05,34.84541,128.43561
162,통영,24-3,484.78,34.84541,128.43561
162,통영,24-4,485.72,34.84541,128.43561
162,통영,24-5,668.82,34.84541,128.43561
162,통영,24-6,575.13,34.84541,128.43561
162,통영,24-7,471.63,34.84541,128.43561
162,통영,24-8,697.07,34.84541,128.43561
162,통영,24-9,498.53,34.84541,128.43561
162,통영,24-10,369.05,34.84541,128.43561
162,통영,24-11,308.3,34.84541,128.43561
165,목포,23-11,285.25,34.81732,126.38151
165,목포,23-12,210.27,34.81732,126.38151
165,목포,24-1,276.61,34.81732,126.38151
165,목포,24-2,256.29,34.81732,126.38151
165,목포,24-3,457.33,34.81732,126.38151
165,목포,24-4,501.6,34.81732,126.38151
165,목포,24-5,724.54,34.81732,126.38151
165,목포,24-6,583.78,34.81732,126.38151
165,목포,24-7,519.78,34.81732,126.38151
165,목포,24-8,648.68,34.81732,126.38151
165,목포,24-9,502.43,34.81732,126.38151
165,목포,24-10,359.89,34.81732,126.38151
165,목포,24-11,300.49,34.81732,126.38151
168,여수,23-11,350.79,34.73929,127.74063
168,여수,23-12,281.54,34.73929,127.74063
168,여수,24-1,320.5,34.73929,127.74063
